Page 1,,
,,
"1. Please carefully select the method that best rebuilds the original image ""progressively""", showing a human-like interpretation.,
Option,Percentage%,Count
DiffVG,20.00%,4
Painting,25.00%,5
LIVE,55.00%,11
Total,,20
,,
2. Same question,,
Option,Percentage%,Count
DiffVG,25.00%,5
Painting,15.00%,3
LIVE,60.00%,12
Total,,20
,,
3. Same question,,
Option,Percentage%,Count
DiffVG,10.00%,2
Painting,10.00%,2
LIVE,80.00%,16
Total,,20
,,
4. Same question,,
Option,Percentage%,Count
DiffVG,40.00%,8
Painting,0.00%,0
LIVE,60.00%,12
Total,,20
,,
5. Same question,,
Option,Percentage%,Count
DiffVG,20.00%,4
Painting,5.00%,1
LIVE,75.00%,15
Total,,20
,,
6. Same Question,,
Option,Percentage%,Count
DiffVG,20.00%,4
Painting,15.00%,3
LIVE,65.00%,13
Total,,20
,,
7. Same question,,
Option,Percentage%,Count
DiffVG,5.00%,1
Painting,10.00%,2
LIVE,85.00%,17
Total,,20
,,
8. Same question,,
Option,Percentage%,Count
DiffVG,25.00%,5
Painting,10.00%,2
LIVE,65.00%,13
Total,,20
,,
9. Same question,,
Option,Percentage%,Count
DiffVG,15.00%,3
Painting,5.00%,1
LIVE,80.00%,16
Total,,20
,,
10. Same question,,
Option,Percentage%,Count
DiffVG,25.00%,5
Painting,5.00%,1
LIVE,70.00%,14
Total,,20
,,
11. Same question,,
Option,Percentage%,Count
DiffVG,10.00%,2
Painting,15.00%,3
LIVE,75.00%,15
Total,,20
,,
12. Same question,,
Option,Percentage%,Count
DiffVG,15.00%,3
Painting,10.00%,2
LIVE,75.00%,15
Total,,20
,,
13. Same question,,
Option,Percentage%,Count
DiffVG,25.00%,5
Painting,15.00%,3
LIVE,60.00%,12
Total,,20
,,
14. Same question,,
Option,Percentage%,Count
DiffVG,5.00%,1
Painting,15.00%,3
LIVE,80.00%,16
Total,,20
,,
15. Same question,,
Option,Percentage%,Count
DiffVG,40.00%,8
Painting,5.00%,1
LIVE,55.00%,11
Total,,20
,,
16. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20
,,
17. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20
,,
18. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20
,,
19. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20
,,
20. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20
,,
21. Same question,,
Option,Percentage%,Count
DiffVG,0.00%,0
Painting,15.00%,3
LIVE,85.00%,17
Total,,20